Seed,X Position,Y Position,ElapsedTime(ms)
1,8,-16,47
1,8,16,39
1,16,-8,36
1,16,8,38
1,-18,0,46
1,0,-18,29
1,0,18,37
1,18,0,38
1,-18,-1,44
1,-18,1,30
1,-17,-6,29
1,-17,6,31
1,17,-1,34389
1,-17,-1,100607
1,17,1,46121
1,13,5,124336
1,-6,-17,53
1,-6,17,36
1,-1,-18,31
1,-1,18,36
1,1,-18,46
1,1,18,39
1,6,-17,31
1,6,17,37
1,-5,13,205729
1,1,-17,121105
1,5,13,194773
1,-15,-10,81109
1,17,-6,61
1,17,6,37
1,18,-1,38
1,18,1,37
1,-18,-2,30
1,-18,2,46
1,-2,-18,30
1,-2,18,36
1,2,-18,31
1,2,18,37
1,18,-2,52
1,18,2,36
1,10,-15,63598
1,-10,-15,78252
1,1,17,144080
1,15,-10,46884
1,-10,15,87547
1,-18,-3,36035
1,-15,10,136745
1,3,18,41252
1,-16,-9,30
1,-16,9,33
1,-9,-16,51
1,-9,16,39
1,9,-16,32
1,9,16,38
1,16,-9,51
1,16,9,38
1,-17,-7,30
1,-17,7,31
1,-13,-13,44
1,-13,13,33
1,-7,-17,29
1,-7,17,35
1,7,-17,32
1,7,17,52
1,13,-13,34
1,13,13,41
1,17,-7,35
1,17,7,55
1,-18,-4,31
1,-18,4,31
1,-14,-12,31
1,-14,12,49
1,-12,-14,28
1,-12,14,34
1,-4,-18,29
1,-4,18,36
1,4,-18,56
1,4,18,36
1,12,-14,35
1,12,14,38
1,14,-12,53
1,14,12,39
1,18,-4,37
1,18,4,39
1,-15,-11,51
1,-15,11,34
1,-11,-15,30
1,-11,15,35
1,11,-15,50
1,11,15,40
1,15,-11,36
1,15,11,40
1,-18,-5,31
1,-18,5,47
1,-5,-18,32
1,-5,18,40
1,5,-18,33
1,5,18,54
1,18,-5,38
1,18,5,41
1,-17,-8,33
1,-17,8,51
1,-8,-17,32
1,-8,17,39
1,8,-17,33
1,8,17,39
1,17,-8,52
1,17,8,37
1,-16,-10,30
1,-16,10,34
1,-10,-16,52
1,-10,16,36
1,10,-16,34
1,10,16,40
1,16,-10,40
1,16,10,38
1,-18,-6,32
1,-18,6,30
1,-6,-18,32
1,-6,18,51
1,6,-18,31
1,6,18,39
1,18,-6,38
1,18,6,57
1,-19,0,33
1,0,-19,33
1,0,19,39
1,19,0,57
1,-19,-1,32
1,-19,1,31
1,-1,-19,31
1,-1,19,36
1,1,-19,102
1,1,19,38
1,19,-1,40
1,19,1,36
1,-19,-2,49
1,-19,2,31
1,-14,-13,29
1,-14,13,32
1,-13,-14,30
1,-13,14,56
1,-2,-19,32
1,-2,19,37
1,2,-19,33
1,2,19,59
1,13,-14,34
1,13,14,41
1,14,-13,38
1,14,13,58
1,19,-2,39
1,19,2,38
1,-15,-12,29
1,-15,12,34
1,-12,-15,48
1,-12,15,37
1,12,-15,34
1,12,15,41
1,15,-12,52
1,15,12,41
1,-19,-3,35
1,-19,3,33
1,-17,-9,56
1,-17,9,35
1,-9,-17,31
1,-9,17,40
1,-3,-19,31
1,-3,19,56
1,3,-19,35
1,3,19,40
1,9,-17,32
1,9,17,56
1,17,-9,37
1,17,9,40
1,19,-3,38
1,19,3,55
1,-18,-7,33
1,-18,7,35
1,-7,-18,33
1,-7,18,53
1,7,-18,33
1,7,18,38
1,18,-7,35
1,18,7,40
1,10,15,98900
1,-3,18,88000
1,-16,-11,31
1,-16,11,56
1,-11,-16,28
1,-11,16,33
1,18,-3,75608
1,-3,-18,113065
1,-18,3,134979
1,-1,17,295158
1,11,-16,33
1,11,16,39
1,16,-11,34
1,16,11,56
1,3,-18,138113
1,4,-19,57107
1,-19,-5,54
1,-19,5,31
1,-5,-19,31
1,-5,19,34
1,5,-19,30
1,5,19,50
1,19,-5,34
1,19,5,34
1,-18,-8,28
1,-18,8,30
1,-8,-18,44
1,-8,18,33
1,8,-18,32
1,8,18,35
1,18,-8,41
